"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
1617	yes	Chicken (red junglefowl)	Ovary	e14	Female	VADER 126 lane 3	e14	31122299	29641855	95%	QIAgen RNeasy QIAzol	8.9	NA	NA
1809	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e14	Female	OBIWAN 47 lane 5	e14	38324753	36343532	95%	QIAgen RNeasy QIAzol	NA	9.7	NA
3917	yes	Chicken (red junglefowl)	Testis	e14	Male	VADER 183 lane 1	e14	28491748	27091534	95%	QIAgen RNeasy QIAzol	8.7	NA	NA
1423	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e17	Male	VADER 104 lane 4	e17	30691697	29112491	95%	QIAgen RNeasy QIAzol	7.6	NA	NA
1424	yes	Chicken (red junglefowl)	Testis	e17	Male	VADER 104 lane 4	e17	30701838	28863226	94%	QIAgen RNeasy QIAzol	8.1	NA	NA
1426	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e17	Female	VADER 104 lane 4	e17	33405754	31878677	95%	QIAgen RNeasy QIAzol	7.2	NA	NA
1427	yes	Chicken (red junglefowl)	Ovary	e17	Female	VADER 104 lane 4	e17	30433419	28572451	94%	QIAgen RNeasy QIAzol	6.6	NA	NA
1474	yes	Chicken (red junglefowl)	Heart	e17	Male	VADER 177 lane 6	e17	42582009	40997357	96%	QIAgen RNeasy QIAzol	8.8	NA	NA
1479	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e17	Male	OBIWAN 42 lane 6	e17	30684893	28592534	93%	QIAgen RNeasy QIAzol	9.2	NA	NA
1480	yes	Chicken (red junglefowl)	Kidney	e17	Male	VADER 177 lane 6	e17	39544415	37717793	95%	QIAgen RNeasy QIAzol	8.8	NA	NA
1481	yes	Chicken (red junglefowl)	Liver	e17	Male	OBIWAN 47 lane 6	e17	26695239	25858082	97%	QIAgen RNeasy QIAzol	8.6	NA	NA
1483	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e17	Female	OBIWAN 42 lane 7	e17	52527911	48817098	93%	QIAgen RNeasy QIAzol	9.1	NA	NA
1484	yes	Chicken (red junglefowl)	Kidney	e17	Female	VADER 177 lane 6	e17	36316523	34640108	95%	QIAgen RNeasy QIAzol	8.6	NA	NA
1485	yes	Chicken (red junglefowl)	Liver	e17	Female	VADER 194 lane 8 / OBIWAN 47 lane 8	e17	26190091	25268976	96%	QIAgen RNeasy QIAzol	8.5	NA	NA
1620	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e17	Male	VADER 126 lane 8	e17	20259081	19549305	96%	QIAgen RNeasy QIAzol	8.9	NA	NA
1621	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e17	Male	OBIWAN 45 lane 8	e17	32617635	30696267	94%	QIAgen RNeasy QIAzol	9.1	NA	NA
1622	yes	Chicken (red junglefowl)	Heart	e17	Male	OBIWAN 94 lane 2	e17	32674458	31644345	97%	QIAgen RNeasy QIAzol	8.7	NA	NA
1623	yes	Chicken (red junglefowl)	Kidney	e17	Male	OBIWAN 94 lane 1	e17	30469443	29274202	96%	QIAgen RNeasy QIAzol	8.8	NA	NA
1624	yes	Chicken (red junglefowl)	Liver	e17	Male	OBIWAN 44 lane 7	e17	29632531	28103423	95%	QIAgen RNeasy QIAzol	9.2	NA	NA
1625	yes	Chicken (red junglefowl)	Testis	e17	Male	VADER 126 lane 1	e17	27015645	25802915	96%	QIAgen RNeasy QIAzol	8.9	NA	NA
1628	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e17	Female	OBIWAN 47 lane 7	e17	23917561	23172479	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
1630	yes	Chicken (red junglefowl)	Heart	e17	Female	OBIWAN 94 lane 3	e17	37808927	36543787	97%	QIAgen RNeasy QIAzol	8.3	NA	NA
1631	yes	Chicken (red junglefowl)	Kidney	e17	Female	OBIWAN 94 lane 2	e17	27122332	25968396	96%	QIAgen RNeasy QIAzol	8.5	NA	NA
